hero_id,matchup_rating,composition_tags,sombra_comp_stats.hack_value,sombra_comp_stats.virus_value,sombra_comp_stats.translocator_risk,sombra_comp_stats.emp_value,sombra_comp_stats.priority_score,key_enemy_skills.respect,key_enemy_skills.punish_after,key_enemy_skills.emp_check,key_enemy_skills.hack_timing
D.Va,5.1,"[""heavy_frontline"", ""dive_threat"", ""long_range_threat"", ""aerial_pressure"", ""save_sustain"", ""hack_value_target""]",9,6,10,10,7,"[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""ブースター"", ""ブースター"", ""ディフェンス・マトリックス""]","[""ディフェンス・マトリックス"", ""ブースター"", ""自爆""]","[""ブースター"", ""ブースター"", ""ブースター""]"
Winston,5.1,"[""dive_threat"", ""long_range_threat"", ""save_sustain"", ""hack_value_target""]",9,6,10,10,7,"[""ジャンプ・パック"", ""テスラ・キャノン"", ""バリア・プロジェクター""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""バリア・プロジェクター""]","[""バリア・プロジェクター"", ""ジャンプ・パック""]","[""ジャンプ・パック"", ""ジャンプ・パック"", ""テスラ・キャノン""]"
Doomfist,4.5,"[""dive_threat"", ""flank_threat"", ""long_range_threat""]",8,6,10,9,6,"[""ロケット・パンチ"", ""サイズミック・スラム"", ""ロケット・パンチ""]","[""サイズミック・スラム"", ""ロケット・パンチ"", ""サイズミック・スラム""]","[""パワー・ブロック"", ""サイズミック・スラム""]","[""ロケット・パンチ"", ""サイズミック・スラム"", ""サイズミック・スラム""]"
Hazard,4.8,"[""dive_threat""]",8,7,10,9,7,"[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""ジャギー・ウォール""]","[""ヴァイオレント・リープ"", ""ヴァイオレント・リープ"", ""ジャギー・ウォール""]","[""スパイク・ガード"", ""ヴァイオレント・リープ""]","[""ヴァイオレント・リープ"", ""ジャギー・ウォール"", ""ヴァイオレント・リープ""]"
Wrecking Ball,4.2,"[""dive_threat"", ""flank_threat"", ""long_range_threat"", ""aerial_pressure""]",8,6,10,9,6,"[""グラップリング・クロー"", ""パイルドライバー"", ""パイルドライバー""]","[""グラップリング・クロー"", ""ロール"", ""グラップリング・クロー""]","[""アダプティブ・シールド"", ""グラップリング・クロー"", ""ロール""]","[""グラップリング・クロー"", ""パイルドライバー"", ""グラップリング・クロー""]"
Zarya,5.8,"[""heavy_frontline"", ""save_sustain"", ""hack_value_target""]",10,7,7,10,8,"[""グラビトン・サージ"", ""グラビトン・サージ"", ""パーティクル・バリア""]","[""パーティクル・バリア"", ""バリア・ショット"", ""グラビトン・サージ""]","[""パーティクル・バリア"", ""バリア・ショット"", ""パーティクル・バリア""]","[""グラビトン・サージ"", ""パーティクル・バリア"", ""バリア・ショット""]"
Junker Queen,5.7,"[""heavy_frontline"", ""save_sustain""]",9,7,8,10,8,"[""ギザギザブレード"", ""カーネイジ"", ""ランペイジ""]","[""コマンディング・シャウト"", ""ギザギザブレード"", ""カーネイジ""]","[""コマンディング・シャウト"", ""コマンディング・シャウト""]","[""ギザギザブレード"", ""カーネイジ"", ""コマンディング・シャウト""]"
Domina,5.9,"[""heavy_frontline""]",9,7,7,10,8,"[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""パノプティコン""]","[""バリア・アレイ"", ""クリスタル・チャージ"", ""ソニック・リパルサー""]","[""バリア・アレイ"", ""バリア・アレイ""]","[""クリスタル・チャージ"", ""ソニック・リパルサー"", ""バリア・アレイ""]"
Mauga,5.9,"[""heavy_frontline""]",9,7,7,10,8,"[""オーバーラン"", ""ケージ・ファイト"", ""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""オーバーラン"", ""カーディアック・オーバードライブ""]","[""カーディアック・オーバードライブ"", ""カーディアック・オーバードライブ""]","[""オーバーラン"", ""カーディアック・オーバードライブ"", ""ケージ・ファイト""]"
Ramattra,6.5,"[""heavy_frontline"", ""hack_value_target""]",10,7,7,10,8,"[""ネメシス・フォーム"", ""貪欲な渦"", ""アナイアレーション""]","[""ヴォイド・バリア"", ""ブロック"", ""ネメシス・フォーム""]","[""ヴォイド・バリア"", ""ブロック"", ""ヴォイド・バリア""]","[""ネメシス・フォーム"", ""貪欲な渦"", ""ヴォイド・バリア""]"
